,file,xmin,ymin,xmax,ymax,confidence,class
0,img2744.jpg,436,172,536,328,0.95,2
1,img2744.jpg,478,325,522,373,0.9,0
2,img3050.jpg,361,156,590,657,0.97,2
3,img3050.jpg,305,1,490,159,0.94,6
4,img3050.jpg,369,643,534,786,0.9,0
5,img3050.jpg,717,0,829,134,0.89,4
6,img2240.jpg,112,38,423,563,0.97,2
7,img2240.jpg,474,31,565,134,0.91,4
8,img2240.jpg,326,106,380,168,0.9,4
9,img2240.jpg,91,557,262,697,0.89,0
10,img2240.jpg,118,0,248,56,0.87,6
11,tpt_img258.jpg,257,188,565,394,0.96,2
12,tpt_img258.jpg,178,359,272,478,0.94,6
13,tpt_img258.jpg,551,107,645,222,0.92,0
14,tpt_img258.jpg,105,188,203,255,0.88,4
15,img7070.jpg,238,273,967,483,0.95,2
16,img7070.jpg,937,283,1142,447,0.91,0
17,img644.jpg,308,281,479,570,0.96,2
18,img644.jpg,439,220,492,288,0.92,6
19,img644.jpg,286,569,349,653,0.89,0
20,img644.jpg,586,249,631,305,0.88,4
21,tpt_img29.jpg,360,155,476,454,0.97,2
22,tpt_img29.jpg,427,88,471,163,0.94,6
23,tpt_img29.jpg,338,448,396,545,0.92,0
24,tpt_img29.jpg,488,135,508,166,0.85,5
25,img6346.jpg,283,262,427,468,0.96,2
26,img6346.jpg,236,451,308,537,0.94,0
27,img6346.jpg,386,233,452,264,0.91,6
28,img4692.jpg,385,451,778,582,0.94,2
29,img4692.jpg,286,412,405,505,0.94,6
30,img4692.jpg,767,497,912,620,0.93,0
31,img4692.jpg,367,185,434,230,0.82,4
32,img5345.jpg,132,79,847,514,0.96,2
33,img5345.jpg,0,341,143,469,0.93,6
34,img5345.jpg,840,390,956,492,0.9,0
35,img5345.jpg,3,182,167,253,0.8,4
36,img6540.jpg,172,377,374,534,0.95,6
37,img6540.jpg,360,397,803,450,0.93,2
38,img6540.jpg,787,284,914,439,0.92,0
39,img6540.jpg,117,115,310,162,0.87,4
40,img69.jpg,563,189,693,520,0.97,2
41,img69.jpg,542,87,632,190,0.93,6
42,img69.jpg,528,489,630,579,0.93,0
43,img69.jpg,825,77,883,219,0.89,4
44,img6590.jpg,274,2,899,442,0.95,2
45,img6590.jpg,125,135,319,283,0.94,6
46,img6590.jpg,889,287,1127,506,0.91,0
47,img3571.jpg,379,82,751,509,0.97,2
48,img3571.jpg,681,42,813,99,0.92,6
49,img3571.jpg,388,493,551,610,0.89,0
50,img5081.jpg,208,261,469,557,0.98,2
51,img5081.jpg,200,557,274,618,0.92,0
52,img5081.jpg,365,210,426,262,0.91,6
53,img5081.jpg,512,205,547,262,0.86,4
54,img4024.jpg,526,260,573,508,0.94,2
55,img4024.jpg,542,203,594,271,0.93,6
56,img4024.jpg,511,503,564,562,0.9,0
57,img4024.jpg,670,210,708,246,0.85,4
58,img4152.jpg,611,412,788,753,0.96,2
59,img4152.jpg,585,334,659,410,0.93,6
60,img4152.jpg,629,722,708,786,0.93,0
61,img6442.jpg,420,212,689,389,0.97,2
62,img6442.jpg,552,382,620,444,0.9,0
63,img8719.jpg,174,63,428,220,0.95,6
64,img8719.jpg,298,211,388,604,0.94,2
65,img8719.jpg,336,568,514,719,0.92,0
66,img6326.jpg,589,238,707,643,0.96,2
67,img6326.jpg,550,621,682,766,0.93,0
68,img6326.jpg,660,124,757,246,0.92,6
69,img6326.jpg,952,248,985,297,0.88,4
70,img3494.jpg,701,259,802,662,0.97,2
71,img3494.jpg,681,130,784,266,0.94,6
72,img3494.jpg,751,653,855,781,0.91,0
73,img3494.jpg,976,239,997,291,0.84,4
74,tpt_img25.jpg,237,183,395,539,0.96,2
75,tpt_img25.jpg,224,529,352,617,0.93,0
76,tpt_img25.jpg,209,89,322,190,0.93,6
77,tpt_img25.jpg,441,172,466,208,0.81,4
78,img2504.jpg,276,325,342,844,0.95,2
79,img2504.jpg,239,834,369,967,0.93,0
80,img2504.jpg,277,194,379,329,0.9,6
81,img2504.jpg,489,290,524,356,0.85,4
82,img2571.jpg,581,352,751,502,0.92,0
83,img2571.jpg,582,1,677,365,0.83,2
84,img5907.jpg,180,139,413,456,0.97,2
85,img5907.jpg,300,40,421,140,0.92,6
86,img5907.jpg,265,451,389,551,0.91,0
87,img3261.jpg,385,412,578,814,0.96,2
88,img3261.jpg,519,284,621,412,0.94,6
89,img3261.jpg,364,802,476,941,0.92,0
90,img3261.jpg,796,278,870,416,0.85,4
91,tpt_img337.jpg,298,246,325,395,0.94,2
92,tpt_img337.jpg,291,388,330,443,0.92,0
93,tpt_img337.jpg,303,196,339,247,0.91,6
94,tpt_img337.jpg,497,273,533,295,0.9,4
95,tpt_img337.jpg,370,202,390,261,0.88,4
96,img1875.jpg,515,213,646,494,0.97,2
97,img1875.jpg,582,156,641,221,0.91,6
98,img1875.jpg,505,491,551,564,0.91,0
99,img1875.jpg,669,179,703,214,0.84,4
100,img9056.jpg,186,475,475,907,0.97,2
101,img9056.jpg,124,900,249,1041,0.95,0
102,img9056.jpg,311,378,408,475,0.92,6
103,img8431.jpg,223,159,317,469,0.96,2
104,img8431.jpg,260,460,453,598,0.93,0
105,img8431.jpg,172,62,287,171,0.92,6
106,img8431.jpg,451,134,509,208,0.89,4
107,img7448.jpg,398,379,876,746,0.97,2
108,img7448.jpg,871,575,1034,708,0.94,0
109,img7448.jpg,265,353,418,474,0.93,6
110,img7448.jpg,298,73,432,177,0.91,4
111,img7278.jpg,409,289,812,546,0.96,2
112,img7278.jpg,327,480,420,606,0.93,6
113,img7278.jpg,805,346,945,476,0.91,0
114,img7535.jpg,556,179,601,539,0.92,2
115,img7535.jpg,537,542,602,602,0.91,0
116,img7535.jpg,539,128,592,188,0.9,6
117,img7535.jpg,631,145,652,183,0.85,4
